Тон обращения,Длина обращения (предложения),Тип жалобы-обращения,Наличие грамматических ошибок,Отсутствие знаков препинания,Возраст,Пол,Уникальный айди обращения,Кол-во уникальных товаров в заказе,Список товаров в заказе,Количество каждого товара,Цена каждого товара,Общая стоимость товаров,Название проблемного продукта,Количество товара с проблемой,Обращение
Позитивный,5,привезли не все товары,False,False,35,женщина,RlEPqF,6,"['Молоко', 'Рыба', 'Томаты', 'Картофель', 'Чай', 'Сок']","[3, 3, 3, 3, 4, 2]","[7823, 8221, 2857, 7640, 6512, 3991]",113653,['Чай'],4,"Добрый день! Я обращаюсь в службу поддержки Яндекс Лавку. У меня возникла проблема, связанная с доставкой товаров. Мне не привезли чай. Я очень разочарован такой ситуацией, но все равно оставлю позитивный отзыв о вашем сервисе. Жду вашего ответа и надеюсь, что ситуация будет исправлена. Спасибо!"
опасающийся,2,привезли не все товары,True,True,40,мужчина,nOJUji,10,"['Огурцы', 'Чай', 'Рыба', 'Курица', 'Картофель', 'Кофе', 'Хлеб', 'Томаты', 'Сок', 'Молоко']","[4, 2, 3, 3, 4, 4, 2, 3, 4, 2]","[4076, 2843, 5801, 7977, 7952, 5036, 1022, 3475, 2385, 9635]",156555,['Чай'],2,"яндекс лавку, я боится, они не привезти чаи. хотеть, чтобы ты решить это быстрый"
испуганный,2,испорченный товар,True,True,19,женщина,p7Bj3o,3,"['Молоко', 'Рыба', 'Сок']","[4, 3, 4]","[9628, 9255, 6653]",92889,['Молоко'],1,"яндекс Лавка, я очень испуганный, у меня проблемы с одним из заказанных товаров. Мне прислали испорченым молоко, я заказал 4 штук молока, но одно молоко испорчено. помогите решить эту проблему."
нейтральный,4,привезли не все товары,True,True,38,мужчина,CQg8Xr,1,['Рыба'],[2],[7981],15962,['Рыба'],2,"Здравствуйте, Яндекс Лавка! Не привезли рыбу. Очень неприятно. Жду вашего ответа. Спасибо!"
уверенный,1,привезли не все товары,True,False,23,женщина,t0wDtP,2,"['Кофе', 'Томаты']","[2, 2]","[7513, 8415]",31856,['Кофе'],2,"Здравствуйте! Я обратился в Яндекс Лавку, чтобы пожаловаться, что не привезли кофе. Я уверен, что заказал его и ждал доставки, но к сожалению, кофе не было в посылке. Будьте добры, решите эту проблему как можно скорее. Благодарю!"
благодарность,2,привезли не все товары,True,True,31,женщина,qN9TiO,1,['Картофель'],[2],[1200],2400,['Картофель'],1,"Письмо в службу поддержки Яндекс Лавки:добрый день яндекс лавка. хочу сказать благодарность вам за мои покупки, но привезли не достаточно товара. заказывала два картофеля, а привезли только один! прошу исправить эту ошибку. спасибо!"
разочарованный,30,испорченный товар,True,False,35,мужчина,8zguPn,2,"['Сок', 'Картофель']","[3, 3]","[1537, 4482]",18057,['Сок'],1,"Дорогая Яндекс Лавка,Я очень разочарована качеством товара, который я заказала у вас. Из трех заказанных мною соков, один оказался испорченным. Это вызывает у меня большое недовольство и неудовлетворение. Я надеялась на хорошее качество продукции, но получила нечто совершенно иное. Очень расстроена этим происшествием.Я прошу вас разобраться в этой ситуации и принять меры, чтобы такая ситуация больше не повторялась. Я ожидаю возмещения стоимости испорченного сока или замену его на свежий товар. Буду благодарна, если вы решите эту проблему в ближайшее время.С уважением,Ваша клиентка."
обеспокоенный,5,привезли не все товары,True,False,38,женщина,oaKA2F,3,"['Чай', 'Сок', 'Кофе']","[4, 2, 4]","[9716, 3937, 2845]",58118,['Кофе'],1,"Добрый день! Я обеспокоен тем, что при доставке моего заказа в Яндекс Лавку не привезли все товары. Заказывал 4 пакета кофе, но привезли только 3. Прошу разобраться с данной ситуацией и привезти недостающий товар как можно скорее. Спасибо!"
нейтральный,15,привезли не все товары,True,False,33,мужчина,usoh7o,2,"['Курица', 'Картофель']","[4, 2]","[5459, 9782]",41400,['Курица'],3,"Здравствуйте! Я обращаюсь к вам с жалобой на работу службы доставки Яндекс Лавки. Вчера я сделал заказ и указал, что хочу купить 4 курицы. Однако, к моему великому сожалению, мне привезли только 1 курицу. Это вызывает некоторое недоверие и разочарование. Я ожидал получить все 4 курицы, чтобы успешно приготовить планируемое блюдо. Прошу вас разобраться в данной ситуации и предоставить мне полный заказ. Благодарю за понимание и оперативное решение проблемы!"
обеспокоенный,2,привезли не все товары,False,False,40,женщина,HgIf2Y,3,"['Огурцы', 'Молоко', 'Чай']","[3, 2, 4]","[9442, 2314, 7915]",64614,['Молоко'],2,"Добрый день! Я обеспокоен тем, что не привезли молоко. Я заказывал молоко, но его не привезли. Пожалуйста, разберитесь в этом и примите необходимые меры. Благодарю!"
нейтральный,30,привезли не все товары,False,False,29,мужчина,R1QHzw,10,"['Кофе', 'Рыба', 'Хлеб', 'Томаты', 'Молоко', 'Сок', 'Огурцы', 'Курица', 'Картофель', 'Чай']","[4, 3, 2, 4, 3, 4, 2, 4, 3, 3]","[2647, 7490, 8563, 1473, 8776, 9933, 2699, 3659, 3756, 4042]",165564,['Томаты'],2,"Добрый день! Я обратился к вам, так как в моем последнем заказе из Яндекс Лавки возникла небольшая проблема. Мне привезли только 2 томата из 4, которые я заказал. Очень надеюсь, что вы сможете помочь решить эту ситуацию. Спасибо!"
благодарность,2,привезли не все товары,False,False,33,мужчина,Fh4UWn,1,['Сок'],[3],[7386],22158,['Сок'],3,"Здравствуйте, Яндекс Лавка! Хочу поблагодарить вас за вашу работу и отличный сервис. Однако, хотелось бы обратить ваше внимание на то, что не привезли сок. Может быть, возникла какая-то ошибка, но я все равно хотел бы получить свой заказ. Буду благодарен, если поможете разобраться в этой ситуации. Спасибо!"
разочарованный,1,привезли не все товары,False,False,21,мужчина,PT9hJk,6,"['Чай', 'Курица', 'Хлеб', 'Молоко', 'Кофе', 'Томаты']","[2, 2, 2, 4, 2, 2]","[5358, 6070, 9612, 4698, 5605, 5197]",82476,['Курица'],1,"Яндекс Лавка, я разочарован! Вы не привезли все товары! Я заказал 2 курицы, а привезли только 1. Как так можно?! Жду решения проблемы!"
требовательный,30,испорченный товар,True,True,20,мужчина,nzFr6i,10,"['Сок', 'Кофе', 'Молоко', 'Огурцы', 'Курица', 'Томаты', 'Хлеб', 'Картофель', 'Чай', 'Рыба']","[3, 3, 2, 3, 2, 4, 2, 4, 4, 4]","[2853, 6640, 3296, 7813, 7116, 7215, 8243, 4063, 8572, 6782]",195756,['Огурцы'],1,"Добрый день, я обращаюсь к вам относительно испорченного товара. Я заказал 3 огурца, но среди них имеется один испорченный. Я требую немедленное решение проблемы и замену этого товара. Быстро и качественно! Жду ответа."
уверенный,30,испорченный товар,True,True,20,женщина,n1Uk8o,1,['Чай'],[4],[9529],38116,['Чай'],3,"Здравствуйте, я хочу сообщить о проблеме с заказанным товаром. Я получил 4 пакета чая, но к моему разочарованию, 3 из них оказались испорченными. Чай, который я заказывал, имеет великолепный вкус и аромат, но эти пакеты обладают неприятным запахом и горьким привкусом. Я разочарован, поскольку являюсь постоянным клиентом Яндекс Лавки и всегда полагался на качество ваших товаров. Прошу вас принять меры по устранению этой проблемы и заменить испорченные пакеты чая. Благодарю вас за понимание. Жду вашего ответа."
отчаянный,3,испорченный товар,False,True,31,мужчина,MIgCDZ,8,"['Рыба', 'Молоко', 'Курица', 'Картофель', 'Кофе', 'Томаты', 'Чай', 'Сок']","[4, 2, 4, 4, 3, 2, 4, 2]","[8588, 9888, 5927, 4583, 6133, 7034, 1440, 7192]",148779,['Молоко'],1,"Здравствуйте, Яндекс Лавка! Очень отчаянно обращаюсь к вам с жалобой на испорченный товар. Я приобрела 2 бутылки молока, одну из которых оказалась испорченной. Прошу вас помочь решить эту проблему. Спасибо!"
фрустрированный,30,"уточнение, где курьер",False,True,39,мужчина,4gpGGG,3,"['Хлеб', 'Огурцы', 'Картофель']","[2, 4, 2]","[4638, 6067, 4741]",43026,['Огурцы'],2,"Уважаемый курьер! Хочу обратиться с жалобой или, скорее, уточнением о моем заказе. Я заказал товар и с нетерпением его жду. Однако возникла некая проблема с доставкой, которую я хотел бы уточнить. Мне необходимо знать, где находится мой товар и почему его доставка затягивается. Будьте добры, сообщите мне информацию о статусе доставки или разрешите возникшую проблему. Большое спасибо за вашу помощь!"
в недоумении,2,испорченный товар,True,True,35,мужчина,mImSwm,2,"['Молоко', 'Хлеб']","[3, 2]","[7222, 8508]",38682,['Молоко'],2,"яндекс лавка, я в недоумении. молоко в испорченном состоянии. заказывала 3 шт, а пришло 2. что делать?"
